,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
3797,Clothing Sales,female,Colombia,CO,shared,field_partner,55,1500,Spanish,monthly,Clothing,funded,26,0.005
3798,Home Appliances,group,Cambodia,KH,shared,field_partner,4,125,English,monthly,Personal Use,funded,8,0.121
3799,Livestock,female,Nepal,NP,shared,field_partner,24,600,English,monthly,Agriculture,funded,14,0.094
3800,Cereals,female,Cambodia,KH,not shared,field_partner,19,750,English,monthly,Food,funded,14,0.121
3801,Restaurant,female,Philippines,PH,shared,field_partner,7,400,English,irregular,Food,funded,11,0.055
3802,Retail,group,Mali,ML,not shared,field_partner,14,550,French,monthly,Retail,funded,8,0.484
3803,Farming,group,Cambodia,KH,shared,field_partner,60,1775,English,monthly,Agriculture,funded,14,0.274
3804,Education provider,male,Uganda,UG,shared,field_partner,65,1775,English,irregular,Education,funded,32,0.013
3805,Higher education costs,female,Tajikistan,TJ,shared,field_partner,65,1700,Russian,monthly,Education,funded,15,0.021
3806,Pigs,female,Philippines,PH,shared,field_partner,3,150,English,irregular,Agriculture,funded,9,0.055
3807,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,22,1400,Spanish,monthly,Housing,funded,21,0.161
3808,Fish Selling,female,Philippines,PH,shared,field_partner,18,450,English,irregular,Food,funded,7,0.055
3809,Personal Housing Expenses,male,El Salvador,SV,shared,field_partner,6,800,Spanish,monthly,Housing,not_funded,14,0.054
3810,Primary/secondary school costs,male,Nigeria,NG,shared,field_partner,7,175,English,bullet,Education,funded,15,0.311
3811,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,20,500,English,irregular,Housing,funded,48,0.029
3812,Tailoring,female,Pakistan,PK,shared,field_partner,9,300,English,monthly,Services,funded,13,0.039
3813,Beverages,female,Ghana,GH,shared,field_partner,28,750,English,irregular,Food,funded,10,0.058
3814,Farming,male,Nigeria,NG,shared,field_partner,8,225,English,bullet,Agriculture,funded,21,0.311
3815,General Store,male,Kenya,KE,shared,field_partner,5,200,English,monthly,Retail,funded,8,0.223
3816,Farming,female,Kenya,KE,shared,field_partner,38,1000,English,monthly,Agriculture,funded,19,0.509
3817,Motorcycle Transport,female,Philippines,PH,shared,field_partner,13,350,English,irregular,Transportation,funded,8,0.091
3818,Retail,female,Benin,BJ,shared,field_partner,12,325,French,monthly,Retail,funded,1 Year,0.083
3819,Clothing Sales,group,Congo,CG,shared,field_partner,102,2600,English,irregular,Clothing,funded,6,0.102
3820,Sewing,female,Philippines,PH,shared,field_partner,9,300,English,irregular,Services,funded,11,0.055
3821,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.121
3822,Retail,female,Philippines,PH,not shared,field_partner,21,550,English,irregular,Retail,funded,7,0.055
3823,Personal Expenses,female,Kenya,KE,shared,field_partner,5,125,English,monthly,Personal Use,funded,14,0.509
3824,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,45,1200,Spanish,monthly,Housing,funded,21,0.161
3825,Higher education costs,female,Colombia,CO,shared,field_partner,6,150,Spanish,irregular,Education,funded,3,0.583
3826,Personal Housing Expenses,female,Bolivia,BO,shared,field_partner,5,600,Spanish,monthly,Housing,funded,11,0.077
3827,Farming,group,Cambodia,KH,shared,field_partner,45,1300,English,monthly,Agriculture,funded,13,0.274
3828,Clothing Sales,female,Nicaragua,NI,shared,field_partner,15,575,Spanish,monthly,Clothing,funded,10,0.161
3829,General Store,female,Uganda,UG,shared,field_partner,25,750,English,monthly,Retail,funded,14,0.417
3830,Milk Sales,male,Bolivia,BO,shared,field_partner,44,1325,English,monthly,Food,not_funded,26,0.043
3831,Fishing,female,Philippines,PH,shared,field_partner,6,200,English,irregular,Food,funded,8,0.055
3832,Personal Housing Expenses,female,Nicaragua,NI,not shared,field_partner,17,575,Spanish,monthly,Housing,funded,23,0.112
3833,Fuel/Firewood,female,Peru,PE,not shared,field_partner,10,350,Spanish,irregular,Retail,funded,6,0.069
3834,Retail,male,Peru,PE,not shared,field_partner,11,625,Spanish,monthly,Retail,funded,8,0.071
3835,Food Market,group,Sierra Leone,SL,shared,field_partner,16,725,English,monthly,Food,funded,8,0.319
3836,Farming,male,Nigeria,NG,shared,field_partner,6,450,English,bullet,Agriculture,not_funded,19,0.311
3837,General Store,female,Philippines,PH,shared,field_partner,21,775,English,irregular,Retail,funded,8,0.422
3838,Poultry,female,Kenya,KE,shared,field_partner,28,875,English,monthly,Agriculture,funded,14,0.02
3839,General Store,female,Philippines,PH,shared,field_partner,7,225,English,irregular,Retail,funded,8,0.055
3840,Food Production/Sales,male,Uganda,UG,shared,field_partner,16,1925,English,monthly,Food,not_funded,14,0.013
3841,Personal Products Sales,female,El Salvador,SV,shared,field_partner,57,1500,Spanish,monthly,Retail,funded,32,0.201
3842,Property,male,Colombia,CO,shared,field_partner,7,1550,Spanish,monthly,Housing,not_funded,27,0.583
3843,Agriculture,male,El Salvador,SV,shared,field_partner,10,300,Spanish,bullet,Agriculture,funded,8,0.054
3844,Hardware,male,Togo,TG,shared,field_partner,18,1000,French,monthly,Retail,not_funded,14,0.067
3845,Education provider,female,Peru,PE,shared,field_partner,1,875,Spanish,irregular,Education,funded,6,0.062
3846,Primary/secondary school costs,group,Lebanon,LB,not shared,field_partner,37,1800,English,monthly,Education,funded,1 Year,0.003
3847,Retail,male,Nicaragua,NI,shared,field_partner,9,1000,Spanish,monthly,Retail,not_funded,20,0.161
3848,Agriculture,group,Honduras,HN,shared,field_partner,25,650,Spanish,bullet,Agriculture,funded,8,0.109
3849,Farming,group,Cambodia,KH,shared,field_partner,28,1000,English,monthly,Agriculture,funded,14,0.16
3850,Farming,group,Cambodia,KH,shared,field_partner,5,550,English,monthly,Agriculture,funded,13,0.16
3851,Grocery Store,female,Sierra Leone,SL,shared,field_partner,34,925,English,monthly,Food,funded,1 Year,0.531
3852,Fruits & Vegetables,group,Mali,ML,shared,field_partner,20,775,French,monthly,Food,funded,8,0.484
3853,Sewing,female,Kenya,KE,shared,field_partner,14,400,English,monthly,Services,funded,14,0.075
3854,Agriculture,male,Ecuador,EC,not shared,field_partner,22,600,Spanish,bullet,Agriculture,funded,8,0.014
3855,Services,female,Kenya,KE,shared,field_partner,14,375,English,monthly,Services,funded,8,0.02
3856,Cosmetics Sales,female,Peru,PE,shared,field_partner,29,900,Spanish,monthly,Retail,funded,8,0
3857,Higher education costs,male,Jordan,JO,shared,field_partner,21,1425,English,monthly,Education,not_funded,18,0.005
3858,Food Production/Sales,male,Kenya,KE,shared,field_partner,10,925,English,monthly,Food,not_funded,14,0.075
3859,Tailoring,male,Bolivia,BO,not shared,field_partner,30,1000,Spanish,monthly,Services,funded,20,0.077
3860,Fruits & Vegetables,female,Uganda,UG,shared,field_partner,5,150,English,irregular,Food,funded,8,0.013
3861,Home Energy,female,Kenya,KE,shared,field_partner,3,75,English,monthly,Personal Use,funded,14,0.509
3862,Textiles,group,Guatemala,GT,shared,field_partner,105,3700,English,monthly,Arts,funded,11,0.082
3863,Personal Housing Expenses,female,Mongolia,MN,shared,field_partner,130,4350,English,monthly,Housing,funded,30,0.006
3864,Food,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Food,funded,8,0.055
3865,Spare Parts,male,Lebanon,LB,shared,field_partner,26,700,English,monthly,Retail,funded,15,0.003
3866,Food Production/Sales,male,El Salvador,SV,shared,field_partner,33,1300,Spanish,monthly,Food,funded,26,0.054
3867,Spare Parts,female,Rwanda,RW,shared,field_partner,33,875,English,monthly,Retail,funded,10,0.292
3868,Personal Housing Expenses,female,Cambodia,KH,shared,field_partner,20,700,English,monthly,Housing,funded,14,0.353
3869,Personal Housing Expenses,male,El Salvador,SV,shared,field_partner,1,300,Spanish,monthly,Housing,funded,14,0.077
3870,Agriculture,male,Nicaragua,NI,shared,field_partner,29,800,Spanish,bullet,Agriculture,funded,14,0.108
3871,Farming,female,Philippines,PH,shared,field_partner,3,75,English,irregular,Agriculture,funded,11,0.055
3872,General Store,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Retail,funded,5,0.091
3873,Farming,group,Guatemala,GT,shared,field_partner,28,2900,Spanish,bullet,Agriculture,not_funded,1 Year,0.082
3874,Bakery,male,Bolivia,BO,shared,field_partner,29,750,Spanish,monthly,Food,funded,14,0.105
3875,Cafe,male,Kenya,KE,shared,field_partner,8,675,English,irregular,Food,funded,15,0.02
3876,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,11,525,Spanish,monthly,Housing,not_funded,15,0.161
3877,Agriculture,male,Ecuador,EC,not shared,field_partner,21,600,Spanish,bullet,Agriculture,funded,8,0.014
3878,Fruits & Vegetables,female,Philippines,PH,not shared,field_partner,2,175,English,irregular,Food,funded,8,0.027
3879,Tailoring,female,Uganda,UG,shared,field_partner,5,125,English,irregular,Services,funded,7,0.013
3880,Farming,group,Cambodia,KH,shared,field_partner,6,375,English,monthly,Agriculture,funded,14,0.097
3881,Food Production/Sales,female,Cambodia,KH,not shared,field_partner,33,1000,English,monthly,Food,funded,17,0.16
3882,Construction Supplies,group,The Democratic Republic of the Congo,CD,shared,field_partner,138,4850,French,irregular,Construction,funded,6,0.034
3883,Food Production/Sales,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Food,funded,14,0.055
3884,Food Production/Sales,female,Philippines,PH,shared,field_partner,20,675,English,irregular,Food,funded,8,0.055
3885,Cattle,male,El Salvador,SV,shared,field_partner,19,750,Spanish,bullet,Agriculture,funded,14,0.054
3886,Plastics Sales,female,Togo,TG,not shared,field_partner,35,1100,French,monthly,Retail,funded,14,0.067
3887,Food Stall,female,Philippines,PH,shared,field_partner,11,500,English,irregular,Food,funded,5,0.422
3888,Pigs,male,Colombia,CO,shared,field_partner,60,1575,Spanish,monthly,Agriculture,funded,14,0.005
3889,Shoe Sales,male,Kenya,KE,shared,field_partner,32,925,English,monthly,Retail,funded,14,0.02
3890,Farming,male,Cambodia,KH,not shared,field_partner,5,300,English,monthly,Agriculture,funded,1 Year,0.353
3891,Food Market,group,Sierra Leone,SL,shared,field_partner,20,600,English,monthly,Food,funded,10,0.319
3892,Food Production/Sales,female,Philippines,PH,shared,field_partner,7,225,English,irregular,Food,funded,11,0.055
3893,Retail,male,Liberia,LR,shared,field_partner,30,1100,English,monthly,Retail,funded,14,0.527
3894,Grocery Store,group,Malawi,MW,shared,field_partner,39,1175,English,irregular,Food,funded,6,0.183
3895,Personal Expenses,male,Tajikistan,TJ,shared,field_partner,4,625,Russian,monthly,Personal Use,not_funded,14,0.086
3896,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,39,1200,English,monthly,Housing,funded,17,0.16
3897,Bakery,group,Malawi,MW,shared,field_partner,51,1975,English,irregular,Food,funded,6,0.183
3898,General Store,female,Philippines,PH,shared,field_partner,1,325,English,irregular,Retail,funded,7,0.055
3899,Clothing Sales,female,Sierra Leone,SL,shared,field_partner,22,700,English,monthly,Clothing,funded,8,0.449
3900,Higher education costs,male,Jordan,JO,shared,field_partner,36,1000,English,monthly,Education,funded,18,0.011
3901,Food Production/Sales,female,El Salvador,SV,shared,field_partner,34,1000,Spanish,monthly,Food,funded,26,0.077
3902,Phone Use Sales,female,Indonesia,ID,shared,field_partner,23,925,English,bullet,Retail,funded,14,0.053
3903,Personal Expenses,male,Nigeria,NG,shared,field_partner,1,425,English,bullet,Personal Use,not_funded,15,0.311
3904,Clothing Sales,female,Philippines,PH,shared,field_partner,9,250,English,irregular,Clothing,funded,8,0.055
3905,Home Appliances,group,Cambodia,KH,shared,field_partner,5,175,English,monthly,Personal Use,funded,8,0.121
3906,Farming,female,Cambodia,KH,not shared,field_partner,23,1000,English,monthly,Agriculture,funded,22,0.16
3907,General Store,group,Uganda,UG,not shared,field_partner,141,5000,English,irregular,Retail,funded,6,0.013
3908,Retail,group,Nicaragua,NI,shared,field_partner,15,550,Spanish,irregular,Retail,funded,6,0.161
3909,Charcoal Sales,female,Uganda,UG,shared,field_partner,1,100,English,irregular,Retail,funded,6,0.013
3910,Cafe,female,El Salvador,SV,shared,field_partner,36,1000,Spanish,monthly,Food,funded,14,0.054
3911,Fish Selling,female,Philippines,PH,shared,field_partner,8,675,English,irregular,Food,funded,8,0.055
3912,Farming,female,Malawi,MW,shared,field_partner,1,50,English,monthly,Agriculture,funded,10,0.283
3913,General Store,female,Uganda,UG,shared,field_partner,3,75,English,irregular,Retail,funded,1 Year,0.417
3914,Higher education costs,female,Cambodia,KH,shared,field_partner,18,975,English,monthly,Education,funded,62,0.12
3915,Used Clothing,female,Uganda,UG,shared,field_partner,11,325,English,irregular,Clothing,funded,6,0.013
3916,Retail,female,Colombia,CO,shared,field_partner,10,250,Spanish,monthly,Retail,funded,14,0.009
3917,Fruits & Vegetables,male,Colombia,CO,shared,field_partner,10,425,Spanish,monthly,Food,funded,11,0.009
3918,Farming,female,Philippines,PH,shared,field_partner,9,225,English,irregular,Agriculture,funded,8,0.027
3919,Home Appliances,group,Cambodia,KH,shared,field_partner,4,175,English,monthly,Personal Use,funded,8,0.121
3920,Food Stall,female,Liberia,LR,shared,field_partner,5,250,English,irregular,Food,funded,11,0.527
3921,Grocery Store,female,Peru,PE,not shared,field_partner,12,375,Spanish,monthly,Food,funded,5,0.071
3922,General Store,female,Philippines,PH,shared,field_partner,1,300,English,irregular,Retail,funded,8,0.054
3923,Livestock,group,Philippines,PH,shared,field_partner,40,1400,English,irregular,Agriculture,funded,7,0.039
3924,Construction Supplies,group,The Democratic Republic of the Congo,CD,shared,field_partner,21,5925,French,irregular,Construction,funded,6,0.164
3925,Shoe Sales,female,Colombia,CO,shared,field_partner,9,375,Spanish,bullet,Retail,funded,17,0.005
3926,Motorcycle Transport,male,Philippines,PH,shared,field_partner,8,200,English,irregular,Transportation,funded,8,0.027
3927,Sewing,female,Bolivia,BO,shared,field_partner,15,375,Spanish,irregular,Services,funded,7,0.077
3928,Catering,male,Philippines,PH,shared,field_partner,9,800,English,monthly,Food,funded,8,0.039
3929,General Store,female,El Salvador,SV,not shared,field_partner,15,500,Spanish,monthly,Retail,funded,20,0.201
3930,Beauty Salon,female,Kenya,KE,shared,field_partner,1,150,English,irregular,Services,funded,13,0.075
3931,General Store,female,Philippines,PH,shared,field_partner,19,475,English,irregular,Retail,funded,8,0.039
3932,Clothing Sales,female,Uganda,UG,shared,field_partner,15,975,English,monthly,Clothing,not_funded,13,0.4
3933,Clothing Sales,female,Kenya,KE,shared,field_partner,13,850,English,monthly,Clothing,not_funded,14,0.02
3934,General Store,female,Philippines,PH,shared,field_partner,33,1125,English,irregular,Retail,funded,8,0.029
3935,Personal Housing Expenses,male,Tajikistan,TJ,not shared,field_partner,12,2300,Russian,monthly,Housing,not_funded,14,0.033
3936,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,16,500,English,monthly,Housing,funded,14,0.16
3937,Agriculture,female,Kenya,KE,shared,field_partner,14,350,English,irregular,Agriculture,funded,14,0.223
3938,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,33,900,Spanish,monthly,Housing,funded,20,0.077
3939,Agriculture,group,Kenya,KE,shared,field_partner,36,1025,English,bullet,Agriculture,funded,11,0.223
3940,Sewing,male,El Salvador,SV,not shared,field_partner,23,600,Spanish,monthly,Services,funded,20,0.201
3941,Food Market,group,Sierra Leone,SL,shared,field_partner,16,425,English,monthly,Food,funded,10,0.423
3942,Food Production/Sales,male,Nicaragua,NI,shared,field_partner,27,1300,Spanish,monthly,Food,not_funded,20,0.161
3943,Construction Supplies,female,Nicaragua,NI,shared,field_partner,29,825,Spanish,monthly,Construction,funded,18,0.112
3944,Beauty Salon,female,Kenya,KE,shared,field_partner,7,200,English,irregular,Services,funded,5,0.02
3945,Butcher Shop,group,Vietnam,VN,not shared,field_partner,27,1300,Vietnamese,monthly,Food,funded,14,0.013
3946,Clothing Sales,female,Rwanda,RW,shared,field_partner,26,850,English,monthly,Clothing,funded,14,0.292
3947,Food Production/Sales,female,Burkina Faso,BF,shared,field_partner,7,175,French,irregular,Food,funded,6,0.554
3948,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,9,450,English,irregular,Housing,funded,60,0.029
3949,General Store,female,Philippines,PH,shared,field_partner,1,250,English,irregular,Retail,funded,8,0.054
3950,Farming,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Agriculture,funded,7,0.055
3951,Agriculture,male,Peru,PE,shared,field_partner,11,375,Spanish,monthly,Agriculture,funded,1 Year,0.071
3952,Food Market,female,Sierra Leone,SL,shared,field_partner,20,700,English,monthly,Food,funded,1 Year,0.319
3953,Fish Selling,group,Sierra Leone,SL,shared,field_partner,19,475,English,monthly,Food,funded,10,0.319
3954,Pigs,female,Philippines,PH,shared,field_partner,10,300,English,irregular,Agriculture,funded,8,0.055
3955,Pigs,female,Vietnam,VN,not shared,field_partner,42,1150,Vietnamese,irregular,Agriculture,funded,13,0.013
3956,Manufacturing,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Manufacturing,funded,8,0.055
3957,Retail,female,Togo,TG,shared,field_partner,5,325,French,irregular,Retail,funded,9,0.067
3958,Livestock,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Agriculture,funded,14,0.055
3959,Farming,group,Cambodia,KH,shared,field_partner,20,500,English,monthly,Agriculture,funded,13,0.274
3960,Knitting,female,Peru,PE,shared,field_partner,15,425,Spanish,monthly,Arts,funded,8,0
3961,Retail,female,Lebanon,LB,shared,field_partner,25,1250,English,monthly,Retail,funded,15,0.003
3962,Beverages,female,Senegal,SN,not shared,field_partner,13,625,French,bullet,Food,funded,8,0.449
3963,Grocery Store,group,Ghana,GH,shared,field_partner,64,2450,English,irregular,Food,funded,9,0.058
3964,Motorcycle Transport,male,Kenya,KE,shared,field_partner,12,1150,English,monthly,Transportation,not_funded,20,0.223
3965,Furniture Making,male,Kenya,KE,shared,field_partner,17,500,English,irregular,Manufacturing,funded,14,0.075
3966,Arts,female,Guatemala,GT,not shared,field_partner,14,450,English,monthly,Arts,funded,14,0.082
3967,Electronics Sales,female,Kenya,KE,shared,field_partner,44,1225,English,monthly,Retail,funded,8,0.02
3968,Cattle,male,El Salvador,SV,shared,field_partner,8,300,Spanish,monthly,Agriculture,funded,14,0.054
3969,General Store,female,Nicaragua,NI,shared,field_partner,14,375,Spanish,monthly,Retail,funded,8,0.077
3970,Food Production/Sales,group,Dominican Republic,DO,shared,field_partner,91,4850,English,irregular,Food,funded,8,0.039
3971,Home Appliances,group,Cambodia,KH,shared,field_partner,8,200,English,monthly,Personal Use,funded,8,0.353
3972,Rickshaw,female,Pakistan,PK,shared,field_partner,14,400,English,irregular,Transportation,funded,1 Year,0.039
3973,Clothing,female,Colombia,CO,shared,field_partner,13,350,English,bullet,Clothing,funded,14,0.005
3974,Grocery Store,female,Togo,TG,not shared,field_partner,15,700,English,monthly,Food,funded,15,0.083
3975,Food Production/Sales,female,Colombia,CO,shared,field_partner,6,300,Spanish,monthly,Food,funded,15,0.009
3976,Cosmetics Sales,female,Colombia,CO,shared,field_partner,17,450,Spanish,monthly,Retail,funded,13,0.009
3977,Barber Shop,male,Kenya,KE,shared,field_partner,2,175,English,irregular,Services,funded,13,0.075
3978,Retail,female,Haiti,HT,shared,field_partner,18,500,French,monthly,Retail,funded,7,0.323
3979,Taxi,female,Pakistan,PK,shared,field_partner,10,400,English,monthly,Transportation,not_funded,14,0.039
3980,Food Market,female,Nicaragua,NI,not shared,field_partner,17,500,Spanish,monthly,Food,funded,15,0.161
3981,Personal Housing Expenses,male,Bolivia,BO,shared,field_partner,16,1450,Spanish,monthly,Housing,not_funded,14,0.077
3982,Grocery Store,female,El Salvador,SV,not shared,field_partner,29,900,Spanish,monthly,Food,funded,20,0.201
3983,Sewing,female,Philippines,PH,shared,field_partner,11,525,English,irregular,Services,funded,7,0.029
3984,Transportation,female,India,IN,shared,field_partner,6,150,English,bullet,Transportation,funded,43,0.121
3985,General Store,female,El Salvador,SV,shared,field_partner,12,300,Spanish,monthly,Retail,funded,14,0.077
3986,General Store,female,Philippines,PH,shared,field_partner,5,275,English,irregular,Retail,not_funded,13,0.055
3987,Home Appliances,group,Cambodia,KH,shared,field_partner,5,150,English,monthly,Personal Use,funded,8,0.12
3988,Clothing Sales,group,Ghana,GH,shared,field_partner,50,1825,English,irregular,Clothing,funded,8,0.058
3989,Traveling Sales,female,Mozambique,MZ,shared,field_partner,13,375,Portuguese,monthly,Retail,funded,18,0.043
3990,Food Production/Sales,female,Ghana,GH,not shared,field_partner,16,400,English,monthly,Food,funded,10,0.058
3991,Food Market,group,Sierra Leone,SL,shared,field_partner,12,2100,English,monthly,Food,not_funded,8,0.319
3992,Home Energy,male,Kenya,KE,shared,field_partner,25,750,English,monthly,Personal Use,funded,39,0.02
3993,Farming,male,Sierra Leone,SL,not shared,field_partner,24,700,English,monthly,Agriculture,funded,14,0.423
3994,Clothing,group,Burundi,BI,shared,field_partner,161,4525,French,irregular,Clothing,funded,7,0.164
3995,Arts,female,Peru,PE,shared,field_partner,21,550,Spanish,monthly,Arts,funded,14,0.05
3996,Farming,group,Cambodia,KH,shared,field_partner,6,625,English,monthly,Agriculture,funded,13,0.196
3997,Clothing Sales,group,Guatemala,GT,shared,field_partner,31,775,Spanish,monthly,Clothing,funded,14,0.082
3998,Cattle,male,El Salvador,SV,shared,field_partner,9,250,Spanish,bullet,Agriculture,funded,14,0.054
3999,Farming,female,Cambodia,KH,shared,field_partner,23,625,English,monthly,Agriculture,funded,17,0.121
4000,Livestock,female,Peru,PE,not shared,field_partner,13,400,Spanish,irregular,Agriculture,funded,6,0.069
4001,Livestock,male,Nicaragua,NI,shared,field_partner,11,275,Spanish,monthly,Agriculture,funded,13,0.077
4002,Poultry,female,Philippines,PH,shared,field_partner,5,125,English,monthly,Agriculture,funded,8,0.497
4003,Sewing,male,El Salvador,SV,shared,field_partner,33,1200,Spanish,monthly,Services,funded,26,0.077
4004,Livestock,group,Mali,ML,shared,field_partner,99,3500,French,irregular,Agriculture,funded,10,0.382
4005,Retail,female,Uganda,UG,shared,field_partner,30,800,English,monthly,Retail,funded,14,0.346
4006,Retail,female,Peru,PE,not shared,field_partner,35,975,Spanish,monthly,Retail,funded,8,0.071
4007,Clothing Sales,female,Peru,PE,shared,field_partner,9,325,Spanish,monthly,Clothing,funded,8,0.089
4008,Higher education costs,female,Jordan,JO,shared,field_partner,20,725,English,monthly,Education,funded,15,0.011
4009,Retail,group,Nicaragua,NI,shared,field_partner,16,1050,Spanish,irregular,Retail,funded,8,0.161
4010,Food Production/Sales,female,Colombia,CO,shared,field_partner,46,1175,Spanish,monthly,Food,funded,20,0.009
4011,Retail,female,Nicaragua,NI,shared,field_partner,25,900,Spanish,monthly,Retail,funded,1 Year,0.077
4012,Grocery Store,female,Bolivia,BO,shared,field_partner,53,1500,Spanish,monthly,Food,funded,26,0.077
4013,Crafts,male,Haiti,HT,shared,field_partner,20,725,English,irregular,Arts,funded,1 Year,0.323
4014,General Store,female,Philippines,PH,shared,field_partner,5,225,English,irregular,Retail,funded,5,0.422
4015,Home Energy,male,Haiti,HT,shared,field_partner,12,325,English,irregular,Personal Use,funded,75,0.249
4016,Used Clothing,female,Uganda,UG,shared,field_partner,10,275,English,irregular,Clothing,funded,6,0.013
4017,Fishing,female,Honduras,HN,shared,field_partner,18,450,Spanish,monthly,Food,funded,15,0.112
4018,Construction,female,India,IN,shared,field_partner,5,175,English,bullet,Construction,funded,43,0.121
4019,Pigs,female,Philippines,PH,shared,field_partner,12,400,English,irregular,Agriculture,not_funded,10,0.055
4020,Pigs,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Agriculture,funded,7,0.497
4021,Retail,group,Peru,PE,not shared,field_partner,111,3850,Spanish,irregular,Retail,funded,6,0
4022,Agriculture,male,Tajikistan,TJ,not shared,field_partner,51,1475,Russian,monthly,Agriculture,funded,14,0.033
4023,Retail,male,Togo,TG,shared,field_partner,4,100,French,monthly,Retail,funded,6,0.067
4024,Farming,group,Cambodia,KH,shared,field_partner,36,900,English,monthly,Agriculture,funded,14,0.16
4025,Clothing Sales,male,Colombia,CO,not shared,field_partner,30,1275,Spanish,monthly,Clothing,not_funded,27,0.005
4026,Farm Supplies,female,Kenya,KE,shared,field_partner,92,3350,English,monthly,Agriculture,funded,26,0.509
4027,Food Market,female,Dominican Republic,DO,not shared,field_partner,20,800,English,irregular,Food,funded,9,0.039
4028,Dairy,male,Kenya,KE,shared,field_partner,8,350,English,monthly,Agriculture,funded,14,0.242
4029,Cereals,group,Burundi,BI,shared,field_partner,119,3150,French,irregular,Food,funded,8,0.501
4030,Clothing Sales,male,Colombia,CO,not shared,field_partner,22,1650,Spanish,monthly,Clothing,not_funded,14,0.005
4031,Personal Medical Expenses,female,Philippines,PH,shared,field_partner,6,200,English,monthly,Health,funded,14,0.497
4032,Pigs,group,Indonesia,ID,shared,field_partner,123,3625,English,irregular,Agriculture,funded,8,0.042
4033,General Store,female,Philippines,PH,shared,field_partner,19,1200,English,bullet,Retail,not_funded,26,0.039
4034,Grocery Store,female,Haiti,HT,shared,field_partner,23,600,French,monthly,Food,funded,8,0.323
4035,Animal Sales,female,Kenya,KE,shared,field_partner,19,750,English,monthly,Agriculture,funded,13,0.02
4036,Spare Parts,male,Kenya,KE,shared,field_partner,14,800,English,monthly,Retail,not_funded,14,0.075
4037,General Store,female,Colombia,CO,shared,field_partner,3,500,Spanish,monthly,Retail,funded,15,0.009
4038,Personal Expenses,male,Bolivia,BO,shared,field_partner,3,1025,Spanish,monthly,Personal Use,not_funded,14,0.077
4039,Food Production/Sales,male,Bolivia,BO,shared,field_partner,33,1025,English,monthly,Food,funded,38,0.077
4040,Clothing Sales,female,Jordan,JO,shared,field_partner,11,1450,English,monthly,Clothing,not_funded,21,0.005
4041,Personal Medical Expenses,female,Lebanon,LB,not shared,field_partner,10,1500,English,monthly,Health,not_funded,14,0.003
4042,Food,female,Togo,TG,shared,field_partner,21,600,French,monthly,Food,funded,14,0.067
4043,Food Production/Sales,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Food,funded,8,0.039
4044,Home Energy,male,Cambodia,KH,shared,field_partner,20,600,English,monthly,Personal Use,funded,26,0.16
4045,General Store,female,El Salvador,SV,shared,field_partner,1,300,Spanish,monthly,Retail,funded,8,0.054
4046,Farming,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Agriculture,funded,8,0.054
4047,Home Appliances,group,Cambodia,KH,shared,field_partner,8,200,English,monthly,Personal Use,funded,8,0.121
4048,Farming,female,Ecuador,EC,not shared,field_partner,24,600,Spanish,bullet,Agriculture,funded,14,0.014
4049,Transportation,female,Cambodia,KH,not shared,field_partner,18,500,English,monthly,Transportation,funded,14,0.121
4050,Food Production/Sales,female,Ghana,GH,shared,field_partner,3,275,English,irregular,Food,funded,6,0.138
4051,Cosmetics Sales,female,Togo,TG,shared,field_partner,24,600,French,monthly,Retail,funded,14,0.067
4052,Home Appliances,group,Cambodia,KH,shared,field_partner,6,175,English,monthly,Personal Use,funded,8,0.196
4053,Fruits & Vegetables,group,Uganda,UG,not shared,field_partner,73,2100,English,irregular,Food,funded,6,0.417
4054,Home Appliances,female,Peru,PE,shared,field_partner,9,400,Spanish,irregular,Personal Use,funded,6,0.062
4055,Taxi,male,Cameroon,CM,shared,field_partner,25,650,English,irregular,Transportation,funded,20,0.167
4056,Construction,female,Cambodia,KH,not shared,field_partner,20,500,English,monthly,Construction,funded,14,0.16
4057,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.353
4058,Food Stall,female,Colombia,CO,shared,field_partner,8,800,Spanish,monthly,Food,not_funded,14,0.009
